@relation era
@attribute in1 integer [0, 14]
@attribute in2 integer [0, 14]
@attribute in3 integer [0, 13]
@attribute in4 integer [0, 14]
@attribute out1{1,2,3,4,5,6,7,8,9}
@inputs in1, in2, in3, in4
@outputs out1
@data
13, 6, 12, 2, 4
7, 10, 8, 13, 6
2, 14, 2, 9, 3
8, 6, 4, 5, 1
14, 0, 6, 0, 3
2, 7, 9, 2, 3
1, 2, 12, 6, 2
7, 12, 6, 4, 6
0, 5, 7, 2, 3
13, 9, 2, 8, 6
8, 5, 10, 2, 4
12, 4, 5, 13, 3
14, 0, 6, 0, 1
5, 7, 3, 12, 7
14, 11, 13, 14, 7
5, 13, 0, 11, 5
12, 8, 7, 6, 5
8, 6, 4, 5, 2
1, 2, 12, 4, 6
1, 3, 10, 7, 6
5, 13, 0, 11, 7
5, 7, 3, 12, 1
1, 9, 4, 1, 3
11, 13, 10, 1, 7
9, 3, 10, 5, 2
10, 3, 6, 14, 8
3, 6, 2, 12, 2
2, 9, 7, 5, 5
12, 10, 12, 7, 7
10, 10, 6, 9, 4
2, 7, 9, 2, 1
12, 9, 10, 6, 7
10, 7, 1, 6, 6
8, 5, 10, 2, 6
0, 10, 12, 7, 1
1, 2, 12, 4, 1
5, 13, 0, 11, 5
12, 9, 10, 6, 6
8, 6, 4, 5, 3
13, 3, 6, 6, 5
12, 4, 9, 14, 4
1, 3, 10, 7, 1
12, 4, 5, 13, 3
8, 12, 6, 1, 4
1, 2, 12, 4, 2
1, 2, 12, 4, 3
9, 2, 7, 10, 5
7, 12, 6, 4, 6
1, 2, 12, 4, 2
12, 8, 7, 6, 4
14, 11, 13, 14, 9
3, 6, 2, 12, 4
10, 10, 6, 9, 4
8, 12, 6, 1, 4
7, 3, 7, 0, 4
12, 4, 9, 14, 3
2, 9, 7, 5, 2
8, 5, 10, 2, 4
9, 3, 10, 5, 4
10, 7, 1, 6, 2
12, 8, 7, 6, 8
9, 3, 10, 5, 5
10, 3, 6, 14, 3
11, 13, 10, 1, 6
12, 4, 5, 13, 3
11, 13, 10, 1, 8
1, 2, 12, 4, 2
3, 2, 0, 14, 1
14, 4, 8, 14, 5
5, 7, 3, 12, 4
12, 8, 7, 6, 5
10, 3, 6, 14, 5
5, 13, 0, 11, 7
2, 7, 9, 2, 3
3, 3, 5, 9, 3
10, 10, 6, 9, 5
10, 7, 1, 6, 3
12, 9, 10, 6, 7
0, 10, 12, 7, 2
13, 6, 5, 0, 5
1, 2, 12, 4, 2
14, 0, 6, 0, 4
9, 8, 5, 2, 5
0, 5, 7, 2, 2
1, 9, 4, 1, 4
2, 9, 7, 5, 4
7, 12, 6, 4, 2
14, 11, 13, 14, 9
1, 2, 12, 4, 3
7, 10, 8, 13, 5
10, 3, 6, 14, 5
13, 6, 12, 2, 5
14, 0, 6, 0, 7
8, 6, 4, 5, 3
8, 6, 4, 5, 2
12, 4, 9, 14, 4
0, 5, 7, 2, 1
3, 6, 2, 12, 6
3, 6, 2, 12, 3
10, 3, 6, 14, 2
