@relation era
@attribute in1 integer [0, 14]
@attribute in2 integer [0, 14]
@attribute in3 integer [0, 13]
@attribute in4 integer [0, 14]
@attribute out1{1,2,3,4,5,6,7,8,9}
@inputs in1, in2, in3, in4
@outputs out1
@data
13, 6, 5, 0, 4
2, 9, 7, 5, 5
12, 4, 5, 13, 5
12, 10, 12, 7, 8
10, 2, 13, 4, 5
13, 6, 5, 0, 3
12, 6, 4, 10, 3
5, 7, 3, 12, 4
13, 6, 5, 0, 6
9, 8, 5, 2, 4
12, 9, 10, 6, 7
7, 10, 8, 13, 4
7, 3, 7, 0, 6
0, 5, 7, 2, 1
3, 6, 2, 12, 3
10, 13, 5, 0, 7
12, 4, 5, 13, 2
12, 9, 10, 6, 3
1, 3, 10, 7, 4
8, 6, 4, 5, 5
3, 6, 2, 12, 3
10, 2, 13, 4, 5
12, 9, 10, 6, 8
5, 13, 0, 11, 3
13, 6, 5, 0, 2
0, 5, 7, 2, 1
3, 6, 2, 12, 2
9, 8, 5, 2, 7
1, 2, 12, 4, 3
9, 3, 10, 5, 3
12, 9, 10, 6, 8
10, 7, 1, 6, 3
8, 5, 10, 2, 3
10, 10, 6, 9, 6
10, 10, 6, 9, 5
12, 8, 7, 6, 6
12, 6, 4, 10, 3
13, 6, 5, 0, 7
0, 5, 7, 2, 5
3, 2, 0, 14, 1
10, 3, 6, 14, 1
14, 4, 8, 14, 6
2, 7, 9, 2, 7
7, 3, 7, 0, 2
9, 3, 10, 5, 3
12, 4, 9, 14, 4
2, 1, 5, 1, 1
3, 6, 2, 12, 3
12, 9, 10, 6, 6
9, 2, 7, 10, 4
9, 3, 10, 5, 4
9, 8, 5, 2, 4
5, 13, 0, 11, 4
9, 2, 7, 10, 5
3, 2, 0, 14, 1
13, 9, 2, 8, 4
14, 4, 8, 14, 3
13, 9, 2, 8, 7
13, 6, 5, 0, 4
2, 9, 7, 5, 5
12, 9, 10, 6, 5
11, 13, 10, 1, 6
1, 2, 12, 4, 2
13, 3, 6, 6, 5
14, 11, 13, 14, 9
1, 3, 10, 7, 1
8, 12, 6, 1, 5
2, 14, 2, 9, 2
13, 3, 6, 6, 2
9, 2, 7, 10, 4
10, 2, 13, 4, 4
13, 6, 12, 2, 7
7, 3, 7, 0, 3
9, 8, 5, 2, 5
13, 3, 6, 6, 2
0, 5, 7, 2, 1
2, 1, 5, 1, 2
1, 2, 12, 6, 2
7, 3, 7, 0, 3
9, 2, 7, 10, 2
12, 4, 5, 13, 4
10, 10, 6, 9, 7
13, 3, 6, 6, 5
13, 6, 12, 2, 5
12, 4, 5, 13, 7
8, 6, 4, 5, 2
12, 8, 7, 6, 6
12, 6, 4, 10, 6
12, 9, 10, 6, 6
1, 3, 10, 7, 6
1, 3, 10, 7, 4
7, 3, 7, 0, 3
14, 11, 13, 14, 9
9, 3, 10, 5, 6
0, 5, 7, 2, 2
8, 6, 4, 5, 4
12, 10, 12, 7, 5
3, 2, 0, 14, 1
12, 10, 12, 7, 3
1, 2, 12, 6, 2
